Metadata_guide_identity,mean_ap,p_value,n_pos_pairs,n_total_pairs
HSPA5_HSPA5_+_128003624.23-P1P2_04,0.5966488781505812,0.15798,141.0,2577.0
HSPA5_HSPA5_+_128003624.23-P1P2_06,0.20443702784312562,0.29020342,230.0,2666.0
HSPA5_HSPA5_+_128003624.23-P1P2_08,0.6168278035139663,0.14018302,167.0,2603.0
HSPA9_HSPA9_-_137911079.23-P1P2_00,0.608299156714737,0.11513619,87.0,2523.0
HSPA9_HSPA9_-_137911079.23-P1P2_02,0.263000529865687,0.20349874,88.0,2524.0
HSPA9_HSPA9_-_137911079.23-P1P2_04,0.09129786103640446,0.3941028,172.0,2608.0
HSPA9_HSPA9_-_137911079.23-P1P2_07,0.582505816789178,0.15730374,112.0,2548.0
HSPA9_HSPA9_-_137911079.23-P1P2_08,0.1875947476170764,0.22245617,78.0,2514.0
HSPE1_HSPE1_+_198365089.23-P1P2_00,0.24362673959887413,0.14377458,198.0,2634.0
HSPE1_HSPE1_+_198365089.23-P1P2_01,0.2102543506216889,0.19683734,255.0,2691.0
HSPE1_HSPE1_+_198365089.23-P1P2_02,0.11938609482711962,0.18733175,207.0,2643.0
HSPE1_HSPE1_+_198365089.23-P1P2_03,0.14358954970705512,0.1371885,179.0,2615.0
HSPE1_HSPE1_+_198365089.23-P1P2_14,0.06171732631704737,0.29934323,133.0,2569.0
MTOR_MTOR_+_11322547.23-P1P2_00,0.2673223350218732,0.13376816,405.0,2841.0
MTOR_MTOR_+_11322547.23-P1P2_05,0.09467672991906682,0.24778777,150.0,2586.0
MTOR_MTOR_+_11322547.23-P1P2_06,0.07277291653452263,0.28102386,101.0,2537.0
MTOR_MTOR_+_11322547.23-P1P2_07,0.11200221096640768,0.19590329,152.0,2588.0
MTOR_MTOR_+_11322547.23-P1P2_10,0.07803490917918827,0.35887462,151.0,2587.0
POLR1D_POLR1D_+_28196016.23-P1_00,0.27633834329582196,0.064259775,206.0,2642.0
POLR1D_POLR1D_+_28196016.23-P1_01,0.2545737593988763,0.11528491,252.0,2688.0
POLR1D_POLR1D_+_28196016.23-P1_03,0.2918313298145151,0.11441286,176.0,2612.0
POLR1D_POLR1D_+_28196016.23-P1_07,0.15832433158388878,0.3682894,399.0,2835.0
POLR1D_POLR1D_+_28196016.23-P1_08,0.3689673950959731,0.086112104,337.0,2773.0
POLR2H_POLR2H_+_184081251.23-P1P2_00,0.27866229219019806,0.10410403,103.0,2539.0
POLR2H_POLR2H_+_184081251.23-P1P2_07,0.04509618368172697,0.4256124,101.0,2537.0
POLR2H_POLR2H_+_184081251.23-P1P2_08,0.06843073504600314,0.31013325,97.0,2533.0
POLR2H_POLR2H_+_184081251.23-P1P2_11,0.25219153186237087,0.12859856,78.0,2514.0
POLR2H_POLR2H_+_184081251.23-P1P2_12,0.05467190686316281,0.4206309,110.0,2546.0
RAN_RAN_+_131356438.23-P1P2_00,0.05669984702406143,0.24079712,117.0,2553.0
RAN_RAN_+_131356438.23-P1P2_02,0.11708510009792207,0.2692432,267.0,2703.0
RAN_RAN_+_131356438.23-P1P2_03,0.06358989292915565,0.22037399,125.0,2561.0
RAN_RAN_+_131356438.23-P1P2_04,0.06892834750557222,0.3551794,160.0,2596.0
RAN_RAN_+_131356438.23-P1P2_12,0.07889031765556954,0.5128532,201.0,2637.0
RPL9_RPL9_+_39460483.23-P1P2_00,0.4914142571718272,0.11770273,123.0,2559.0
RPL9_RPL9_+_39460483.23-P1P2_01,0.28111624526790296,0.11374814,78.0,2514.0
RPL9_RPL9_+_39460483.23-P1P2_04,0.10065731733471549,0.25784653,111.0,2547.0
RPL9_RPL9_+_39460483.23-P1P2_05,0.2060293685139199,0.17069986,111.0,2547.0
RPL9_RPL9_+_39460483.23-P1P2_07,0.09376388937299548,0.2725081,180.0,2616.0
RPS14_RPS14_+_149829238.23-P1P2_00,0.31590745485341976,0.13161024,204.0,2640.0
RPS14_RPS14_+_149829238.23-P1P2_01,0.2397544251443739,0.08598999,69.0,2505.0
RPS14_RPS14_+_149829238.23-P1P2_02,0.2447702496942575,0.1318546,210.0,2646.0
RPS14_RPS14_+_149829238.23-P1P2_04,0.10874010832800597,0.23901312,207.0,2643.0
RPS14_RPS14_+_149829238.23-P1P2_08,0.04897663645226882,0.57150847,121.0,2557.0
RPS14_RPS14_+_149829238.23-P1P2_13,0.061549656883248836,0.40596426,143.0,2579.0
RPS15_RPS15_-_1438413.23-P1P2_00,0.20502817595485334,0.17499182,106.0,2542.0
RPS15_RPS15_-_1438413.23-P1P2_01,0.08965157682902421,0.44806087,229.0,2665.0
RPS15_RPS15_-_1438413.23-P1P2_02,0.08071110662086062,0.25515065,83.0,2519.0
RPS15_RPS15_-_1438413.23-P1P2_07,0.13265004193833352,0.23188967,139.0,2575.0
RPS15_RPS15_-_1438413.23-P1P2_12,0.05205426595696305,0.5895804,131.0,2567.0
RPS18_RPS18_+_33239917.23-P1P2_00,0.20087411524145696,0.12752028,105.0,2541.0
RPS18_RPS18_+_33239917.23-P1P2_01,0.16842014424288462,0.14390796,93.0,2529.0
RPS18_RPS18_+_33239917.23-P1P2_02,0.09723711600712831,0.18749423,99.0,2535.0
RPS18_RPS18_+_33239917.23-P1P2_04,0.05409837526665771,0.44213673,125.0,2561.0
RPS18_RPS18_+_33239917.23-P1P2_08,0.10258524213402813,0.28016457,201.0,2637.0
SEC61A1_SEC61A1_-_127771295.23-P1_00,0.2828901617739096,0.09948526,229.0,2665.0
SEC61A1_SEC61A1_-_127771295.23-P1_01,0.08256115522034027,0.20709306,115.0,2551.0
SEC61A1_SEC61A1_-_127771295.23-P1_02,0.22643180343632782,0.14722809,221.0,2657.0
SEC61A1_SEC61A1_-_127771295.23-P1_03,0.12397545728832082,0.22000372,135.0,2571.0
SEC61A1_SEC61A1_-_127771295.23-P1_04,0.055256867471046044,0.4239673,123.0,2559.0
TUBB_TUBB_+_30688126.23-P1_00,0.1182507779824747,0.09945292,209.0,2645.0
TUBB_TUBB_+_30688126.23-P1_01,0.07149917214214233,0.22069098,114.0,2550.0
TUBB_TUBB_+_30688126.23-P1_03,0.04846441056911008,0.22032145,84.0,2520.0
TUBB_TUBB_+_30688126.23-P1_06,0.06356985629800617,0.17034276,101.0,2537.0
TUBB_TUBB_+_30688126.23-P1_10,0.06989171224836421,0.3160278,159.0,2595.0
